OBJID;BEGDA;ENDDA;STEXT
1;01.10.2003;31.12.9999;"ОАО ""РЖД"""
14;01.10.2003;31.12.9999;Красноярская
117;01.10.2003;31.12.2010;Абаканское отделение железной дороги
118;01.10.2003;31.12.2010;Красноярское отделение железной дороги
119;01.10.2003;31.12.2011;Управление Красноярской железной дороги
119;01.01.2012;31.12.9999;Орган управления Красноярской ж.д.
120;01.10.2003;01.04.2007;НХ Красноярск
121;01.10.2003;31.12.2006;НДОП Красноярск
122;01.10.2003;13.09.2008;Дирекция по ремонту пути
346;01.10.2003;31.07.2009;Энергосбыт Красноярск
347;01.10.2003;31.05.2007;"ДОП ПР ""Крастранспригород"""
347;01.06.2007;25.04.2013;"ДОП ПР ""Крастранспригород"" собственно"
348;01.10.2003;30.06.2011;ПЧЛ Красноярск
349;01.10.2003;02.04.2007; Информационно-вычислительный центр
350;01.10.2003;31.03.2018;"Красноярское СП ""Теплотехника"""
351;01.10.2003;25.07.2007;ДК ЖД Красноярск
352;01.10.2003;31.12.2007;НТШ Красноярск
353;01.01.2005;31.05.2007;ДИБЦ Красноярск
353;01.06.2007;31.01.2011;ДЦНТИ  Красноярск
353;01.02.2011;31.12.9999;Красноярский ДЦНТИБ
354;01.10.2003;31.12.9999;Красноярская База № 42
355;01.10.2003;12.10.2011;ДЦДП Красноярск
356;01.10.2003;31.05.2008;Дорожная автобаза Красноярск
357;01.10.2003;15.05.2008;Учебный центр подготовки, переподготовки
358;01.10.2003;31.12.9999;Красноярская ДЖД
2197;01.10.2003;19.10.2011;ЭЧ-1 Боготол
2198;01.10.2003;12.12.2011;ЭЧ-2 Ачинск
2199;01.10.2003;27.08.2011;ЭЧ-3 Красноярск
2200;01.10.2003;30.09.2011;ЭЧ-4 Уяр
2201;01.10.2003;08.11.2011;ЭЧ-5 Иланская
2202;01.10.2003;23.09.2011;ЭЧ-6 Абакан
2203;01.10.2003;24.10.2011;ЭЧ-7 Саянская
2205;01.10.2003;31.12.2006;ВЧД-2 Красноярск
2206;01.10.2003;01.09.2006;ДОП-3 Красноярск
2207;01.10.2003;30.06.2006;НДОП собственно
2208;01.10.2003;31.03.2008;НГЧВ-1 Абакан
2208;01.04.2008;01.11.2011;НГЧ-1 Абакан
2209;01.10.2003;31.03.2008;НГЧВОД-2 Красноярск
2209;01.04.2008;31.12.2011;НГЧ-2 Красноярск
2210;01.10.2003;30.06.2008;НГЧВОД-3 Иланская
2210;01.07.2008;12.10.2008;НГЧ-3 Иланская
2211;01.10.2003;14.07.2011;НГЧ-4 Ачинск
2212;01.10.2003;31.08.2008;НГЧВОД-6 Саянская
2213;01.10.2003;31.12.2011;ВЧДЭ-1 Боготол
2214;01.10.2003;01.09.2006;ВЧДР-3 Иланская
2215;01.10.2003;31.03.2006;ВЧДР-4 Ужур
2216;01.10.2003;02.07.2006;ВЧДР-6 Аскиз
2217;01.10.2003;31.12.2009;ВЧН Новая Еловка
2218;01.10.2003;06.06.2006;МЧ-1 Абакан
2219;01.10.2003;18.12.2006;МЧ-3 Красноярск
2220;01.10.2003;01.04.2007;Абаканский отдел материально-техническог
2222;01.10.2003;31.03.2007;Главный материальный склад
2223;01.10.2003;31.03.2009;ЛПП Енисей
2224;01.10.2003;30.04.2009;ДС Красноярск
2225;01.10.2003;30.04.2009;ДС Абакан
2226;01.10.2003;30.04.2009;ДС Ачинск-I
2227;01.10.2003;31.12.2007;ДС Ачинск-II
2228;01.10.2003;30.04.2009;ДС Заозерная
2229;01.10.2003;31.12.2007;ДС Иланская
2230;01.10.2003;01.06.2009;ДС Мариинск
2231;01.10.2003;05.02.2012;ПЧ-1 Боготол
2232;01.10.2003;25.09.2011;ПЧ-2 Козулька
2233;01.10.2003;18.01.2012;ПЧ-3 Красноярск
2234;01.10.2003;22.07.2011;ПЧ-4 Уяр
2235;01.10.2003;31.10.2011;ПЧ-5 Иланская
2236;01.10.2003;07.09.2011;ПЧ-6 Решоты
2237;01.10.2003;01.10.2011;ПЧ-7 Чульжан
2238;01.10.2003;11.09.2011;ПЧ-8 Аскиз
2239;01.10.2003;31.12.2011;ПЧ-9 Абакан
2240;01.10.2003;01.12.2011;ПЧ-10 Кошурниково
2241;01.10.2003;23.01.2012;ПЧ-11 Саянская
2242;01.10.2003;31.03.2010;ПЧ-12 Тагул
2242;01.04.2010;27.08.2011;ПЧ-12 Абакумовка
2244;01.10.2003;01.10.2011;ПЧ-14 Ужур
2245;01.10.2003;18.09.2011;ПЧ-15 Дубинино
2246;01.10.2003;20.11.2011;ПЧ-16 Суриково
2247;01.10.2003;08.02.2008;ПЧ-18 Мариинск
2248;01.10.2003;04.08.2008;РСП № 7 Красноярск
2249;01.10.2003;20.08.2008;ПМС-182 Козулька
2250;01.10.2003;04.08.2008;ПМС - 48 Базаиха
2251;01.10.2003;13.09.2008;ПМС-256 Решоты
2252;01.10.2003;11.08.2008;ПМС-181 Курагино
2253;01.10.2003;30.06.2008;ПМС-257 Саянская
2254;01.10.2003;17.07.2008;ПМС-197 Зерцалы
2255;01.10.2003;31.03.2008;РПЗ Кача
2256;01.10.2003;16.06.2008;РПЗ Курагино
2258;01.10.2003;20.05.2008;ШПЗ Решоты
2259;01.10.2003;13.09.2008;ДРП собственно
2260;01.10.2003;31.03.2009;ТЧ-1 Боготол
2260;01.04.2009;02.02.2010;ТЧЭ-1 Боготол
2261;01.10.2003;31.03.2009;ТЧ-2 Красноярск
2261;01.04.2009;05.08.2009;ТЧЭ-2 Красноярск-Главный
2262;01.10.2003;30.06.2008;ТЧ-3 Иланская
2262;01.07.2008;05.08.2009;ТЧЭ-3 Иланская
2263;01.10.2003;31.03.2009;ТЧ-5  Ачинск-II
2263;01.04.2009;31.07.2009;ТЧЭ-5  Ачинск-I
2264;01.10.2003;31.03.2009;ТЧ-7 Абакан
2264;01.04.2009;30.11.2010;ТЧЭ-7 Абакан-II
2265;01.10.2003;10.10.2011;ШЧ-1 Боготол
2266;01.10.2003;31.10.2011;ШЧ-4 Иланская
2267;01.10.2003;27.08.2011;ШЧ-6 Саянская
2268;01.10.2003;30.09.2011;ШЧ-7 Абакан
2269;01.10.2003;14.07.2011;ШЧ-8 Аскиз
2270;01.10.2003;15.01.2012;ШЧ-9 Ужур
2271;01.10.2003;26.01.2012;ШЧ-10 Ачинск
2272;01.10.2003;02.10.2011;ШЧ-11 Кошурниково
2273;01.10.2003;21.11.2011;ШЧ-12 Красноярск
2274;01.10.2003;01.09.2006;СВТЧ Красноярск
2275;01.10.2003;30.09.2009;Служба бухгалтерского и налогового учета
2278;01.10.2003;02.09.2007;Служба капитального строительства
2280;01.10.2003;31.12.2010;НОД-1 собственно
2281;01.10.2003;09.11.2007;УПЦ Абакан
2282;01.10.2003;01.12.2009;ДСО Абакан
2283;01.10.2003;30.06.2006;ИВЦ Абакан
2284;01.10.2003;31.12.2010;НОД-2 собственно
2703;01.01.2004;02.04.2007;Руководство
2704;01.01.2004;02.04.2007;Хозяйственная группа
2705;01.01.2004;02.04.2007;Группа системной поддержки (ГСП)
2706;01.01.2004;30.06.2011;Район контактной сети (Мариинск)
2707;01.01.2004;30.06.2011;Район контактной сети (Аверьяновка)
2708;01.01.2004;02.04.2007;Отдел 0ПР
2709;01.01.2004;23.09.2011;Район контактной сети (Тисуль)
2711;01.01.2004;14.07.2011;Район контактной сети (Каштан)
2713;01.01.2004;14.07.2011;Район контактной сети (Боготол)
2714;01.01.2004;02.04.2007;Отдел ОВС
2715;01.01.2004;30.06.2011;Район контактной сети (Критово)
2716;01.01.2004;02.04.2007;Отдел ЭКСПРЕСС
2717;01.01.2004;02.04.2007;Отдел ВЦТУ
2719;01.01.2004;31.12.2004;Аппарат управления
2719;01.01.2005;03.11.2007;Технический отдел
2720;01.01.2004;01.07.2011;ЭЧС-10 ст.Красноярск
2721;01.01.2004;30.09.2009;Ремонтно-ревизионный цех
2721;01.10.2009;14.07.2011;Ремонтно-ревизионный участок
2722;01.01.2004;30.09.2009;Механические мастерские
2722;01.10.2009;14.07.2011;Автотранспортный участок
2723;01.01.2004;30.06.2011;Район электрических сетей станции Ачинск
2724;01.01.2004;30.06.2011;Район электрических сетей станции Сон
2725;01.01.2004;14.07.2011;Район электрических сетей станции Ужур
2726;01.01.2004;31.05.2006;ЭЧС-6 ИНГОЛЬ
2726;01.06.2006;30.06.2011;Район электрических сетей станции Дубини
2727;01.01.2004;14.07.2011;Район электрических сетей станции Сурико
2728;01.01.2004;12.12.2011;Район электрических сетей станции Лес.-к
2729;01.01.2004;02.04.2007;Отдел АБМ
2730;01.01.2004;01.09.2006;АТС-1
2732;01.01.2004;14.07.2011;Тяговая подстанция станции Зыково
2733;01.01.2004;30.06.2011;Тяговая подстанция станции Камарчага
2734;01.01.2004;30.06.2011;Тяговая подстанция станции Камала
2735;01.01.2004;27.08.2011;Район контактной сети станции Сорокино
2736;01.01.2004;22.07.2011;Район контактной сети станции Камарчага
2737;01.01.2004;02.12.2008;Электроремонтная мастерская
