PARENT_OBJID;BEGDA;ENDDA;OBJID;NPP
1;01.10.2003;31.12.9999;125644;01
1;01.10.2003;31.12.9999;125645;02
1;01.10.2003;31.12.9999;125646;03
1;01.10.2003;31.12.9999;125647;04
1;01.10.2003;31.12.9999;125648;05
1;01.10.2003;31.12.9999;125649;06
1;01.10.2003;31.12.9999;125650;07
1;01.10.2003;30.06.2010;125651;08
1;01.10.2003;31.12.9999;125652;09
1;01.10.2003;31.12.9999;125653;10
1;01.10.2003;31.12.9999;31644;AA
1;01.10.2003;31.03.2006;3716;AH
1;01.10.2003;31.12.2009;124574;AR
1;01.10.2003;01.01.2006;3622;AS
1;01.10.2003;01.01.2006;3623;AT
1;01.10.2003;01.01.2006;3624;AU
1;01.10.2003;01.01.2006;3627;AV
1;01.10.2003;01.01.2006;3642;AV
1;01.10.2003;01.01.2006;3628;AW
1;01.10.2003;01.01.2006;3647;AW
1;01.10.2003;01.01.2006;3629;AX
1;01.10.2003;01.01.2006;3630;AY
1;01.10.2003;31.12.2006;3649;AY
1;01.10.2003;01.01.2006;3648;AZ
1;01.10.2003;31.12.2006;3650;AZ
1;01.10.2003;01.01.2006;3694;BB
1;01.10.2003;01.01.2010;3656;BB
1;01.10.2003;01.01.2006;3704;BC
1;01.10.2003;01.01.2010;3688;BC
1;01.10.2003;01.01.2006;3707;BD
1;01.10.2003;01.01.2010;3689;BD
1;01.10.2003;01.01.2006;3708;BE
1;02.10.2003;01.01.2006;3710;BF
1;01.10.2003;01.01.2006;3711;BG
1;01.10.2003;01.01.2006;3713;BH
1;01.10.2003;01.01.2006;3715;BJ
1;01.10.2003;01.01.2006;3731;BK
1;01.07.2009;01.01.2010;3712;BL
1;01.10.2003;01.01.2006;20735;BN
1;01.10.2003;31.08.2010;20732;BN
1;01.10.2003;01.01.2006;20736;BO
1;01.10.2003;01.01.2006;20737;BP
1;01.10.2003;01.07.2008;3720;BQ
1;01.10.2003;01.07.2009;3729;BR
1;01.10.2003;01.01.2006;3730;BS
1;01.10.2003;01.01.2006;3732;BU
1;01.10.2003;01.01.2006;3733;BV
1;01.10.2003;01.01.2006;3734;BW
1;01.10.2003;01.01.2006;3735;BX
1;01.10.2003;01.01.2006;3736;BY
1;01.10.2003;01.01.2006;3737;BZ
1;01.10.2003;01.01.2006;3738;CA
1;01.10.2003;01.01.2006;3739;CB
1;01.10.2003;01.01.2008;3740;CC
1;01.10.2003;01.01.2006;3741;CD
1;01.10.2003;01.01.2006;3742;CE
1;01.10.2003;01.01.2006;3743;CF
1;01.10.2003;01.01.2006;3744;CG
1;01.10.2003;01.01.2006;3745;CH
1;01.10.2003;01.01.2006;3746;CI
1;01.10.2003;01.01.2006;3747;CJ
1;01.10.2003;01.04.2009;3754;CK
1;01.10.2003;01.01.2006;20405;CL
1;01.10.2003;01.10.2003;20720;CM
1;01.10.2003;01.10.2009;20733;CQ
1;01.10.2003;01.01.2007;20734;CR
